pixel_id,crop_type,2023-04-01,2023-04-16,2023-05-01,2023-05-16,2023-05-31,2023-06-15,2023-06-30,2023-07-15,2023-07-30,2023-08-14,2023-08-29,2023-09-13
Corn_0,Corn,0.1478103810509573,0.21917157481823707,0.29053276858551674,0.299541381446756,0.5046030689011352,0.6435769098493372,0.6145354835551756,0.7352573528028629,0.8530913764068303,0.6709255924898779,0.48875980857292545,0.21633040708411894
Corn_1,Corn,0.1291195231962036,0.22039021467934716,0.31166090616249076,0.33173122201648003,0.5268271219064757,0.5883800439706105,0.6274842159164203,0.7511161838977229,0.8533826585013404,0.6243433519454763,0.46613808127760586,0.2461226010273871
Corn_2,Corn,0.06805100445930853,0.17195154387731085,0.30106192204885357,0.3946475360606765,0.4732658379785007,0.5972607008392172,0.673739850390943,0.7502189999426686,0.8632065048282492,0.6813999468822911,0.394212695108515,0.2676918288158235
Corn_3,Corn,0.1337409724418925,0.1612551650473096,0.3050215872468759,0.4403327463486023,0.534750014246066,0.5783007595544857,0.6218515048629055,0.7424543922324023,0.8194688036339022,0.6433218685831069,0.34495095203322274,0.2692147090082828
Corn_4,Corn,0.0993005076289534,0.17641699781173995,0.29169696745656,0.4226350127971781,0.5535730581377961,0.6105786247856002,0.6675841914334043,0.7245897580812085,0.7066294255779801,0.6886690930747518,0.5005540855960711,0.2739026892114478
Corn_5,Corn,0.15986258747357157,0.1901743098160936,0.30437511724273675,0.4185759246693799,0.5011405263816932,0.5837051280940063,0.6848835943164872,0.7860620605389679,0.8186134659830406,0.7381970550014884,0.4478684408909203,0.2284366078369617
Corn_6,Corn,0.18218570256579353,0.18218570256579353,0.2541981051811928,0.3773774581654982,0.5129851971734264,0.5588415719349015,0.6105676458990582,0.7775370564036389,0.8735032099066323,0.6612218236392823,0.48048143546588057,0.48048143546588057
Corn_7,Corn,0.11841963328597421,0.24537400558028577,0.37232837787459727,0.43618739144911073,0.5000464050236242,0.567466393849922,0.6428926107924104,0.7533567023338219,0.8410875566919991,0.6161415533044807,0.38426616253641005,0.21025143344060102
Corn_8,Corn,0.16911735566528405,0.24753359853056658,0.3149629804586603,0.3628059277992481,0.4251141416182449,0.575934544847217,0.5888071925607417,0.7816514794458764,0.8467300387889777,0.6353661975329983,0.4573944526589145,0.2794227077848307
Corn_9,Corn,0.19332663756512788,0.19332663756512788,0.33787471211720266,0.3885071617511225,0.46591022061747994,0.5602305750169444,0.76716781720042,0.7240996464971002,0.8412549535462267,0.6555841897058328,0.38020457804775326,0.18902471490297784
Cotton_0,Cotton,0.0,0.07748445680232667,0.17240715643892168,0.3286252429297987,0.380692540814545,0.46217900515448684,0.5436654694944287,0.5541493934860874,0.7537601306009853,0.5322124555652611,0.44814976312900223,0.18099763666688504
Cotton_1,Cotton,0.0,0.1249474248559965,0.17535591082194185,0.2978087483794242,0.3953986834101628,0.49298861844090147,0.5905785534716401,0.6496069866840988,0.7550681951455195,0.5495958770264068,0.3917554798072174,0.3917554798072174
