system:index,elevation,landforms,organic_carbon,precipitation,soil_ph,soil_texture,solar_radiation,temperature,.geo
00000000000000000000_0,66,24,2,120.66666666666667,56,8,1783.0,17.320833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,61,34,2,120.0,54,8,1780.3333333333333,17.316666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,61,24,2,120.0,57,8,1780.3333333333333,17.316666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,59,34,2,120.83333333333333,62,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,60,24,2,120.83333333333333,61,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,97,21,3,121.08333333333333,54,8,1786.8333333333333,17.041666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,60,34,4,111.41666666666667,65,5,1779.5833333333333,17.045833333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,61,24,2,124.41666666666667,59,8,1787.25,17.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,62,34,2,120.0,56,8,1780.3333333333333,17.316666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,57,34,2,120.83333333333333,55,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,63,24,2,119.83333333333333,62,8,1769.9166666666667,17.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,65,41,5,125.08333333333333,64,5,1792.1666666666667,17.629166666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,58,34,4,122.08333333333333,59,8,1783.3333333333333,17.516666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,60,34,3,122.08333333333333,55,8,1783.3333333333333,17.516666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,59,34,2,120.83333333333333,61,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,60,34,2,121.08333333333333,56,8,1786.8333333333333,17.041666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,62,24,3,121.0,58,8,1782.25,17.345833333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,60,24,2,122.58333333333333,59,8,1784.0,17.520833333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,63,34,3,121.0,63,8,1782.25,17.345833333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,60,34,2,120.0,57,8,1780.3333333333333,17.316666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,59,24,2,111.41666666666667,64,5,1779.5833333333333,17.045833333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,58,41,2,124.08333333333333,57,8,1782.0833333333333,17.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,58,34,2,120.83333333333333,61,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,61,24,2,120.0,57,8,1780.3333333333333,17.316666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,61,34,2,110.25,60,8,1776.4166666666667,17.0375,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,58,34,2,120.83333333333333,59,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,61,34,2,110.25,60,8,1776.4166666666667,17.0375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,62,24,2,120.0,57,8,1780.3333333333333,17.316666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,63,41,3,125.08333333333333,56,8,1792.1666666666667,17.629166666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,68,34,2,120.58333333333333,60,8,1767.0,17.09583333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,58,34,2,118.25,59,8,1776.75,17.145833333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,63,41,3,124.08333333333333,57,8,1782.0833333333333,17.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,58,42,4,111.41666666666667,60,5,1779.5833333333333,17.045833333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,66,24,2,120.66666666666667,58,8,1783.0,17.320833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,63,24,2,124.41666666666667,58,8,1787.25,17.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,64,34,2,120.83333333333333,55,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0,60,34,3,122.58333333333333,61,8,1784.0,17.520833333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0,63,24,2,119.83333333333333,62,8,1769.9166666666667,17.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0,64,24,2,119.83333333333333,61,8,1769.9166666666667,17.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_0,81,34,2,120.58333333333333,53,8,1767.0,17.09583333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0,58,34,2,120.83333333333333,61,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0,61,34,2,122.08333333333333,54,8,1783.3333333333333,17.516666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0,58,34,2,120.83333333333333,62,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0,62,34,2,110.25,59,8,1776.4166666666667,17.0375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0,61,24,4,124.08333333333333,60,8,1782.0833333333333,17.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,56,41,2,122.08333333333333,53,8,1783.3333333333333,17.516666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,58,34,3,122.08333333333333,58,8,1783.3333333333333,17.516666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0,65,24,3,119.83333333333333,63,8,1769.9166666666667,17.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0,68,34,2,119.83333333333333,59,8,1769.9166666666667,17.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0,61,34,3,120.0,55,8,1780.3333333333333,17.316666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0,62,34,2,111.41666666666667,60,8,1779.5833333333333,17.045833333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_0,63,34,2,120.83333333333333,59,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035_0,62,34,2,124.08333333333333,60,8,1782.0833333333333,17.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036_0,57,34,3,122.08333333333333,58,8,1783.3333333333333,17.516666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037_0,58,34,2,120.83333333333333,57,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0,63,24,4,124.41666666666667,62,8,1787.25,17.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0,64,24,2,121.0,61,8,1782.25,17.345833333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a_0,65,34,4,120.83333333333333,60,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_0,66,24,2,119.83333333333333,62,8,1769.9166666666667,17.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c_0,65,42,3,120.0,52,8,1780.3333333333333,17.316666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d_0,58,24,2,122.08333333333333,57,8,1783.3333333333333,17.516666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e_0,61,24,3,124.08333333333333,60,8,1782.0833333333333,17.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f_0,61,34,2,120.0,56,8,1780.3333333333333,17.316666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0,60,41,11,121.91666666666667,56,5,1777.4166666666667,17.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041_0,57,34,2,120.83333333333333,61,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042_0,60,41,2,122.58333333333333,58,8,1784.0,17.520833333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043_0,61,34,2,111.41666666666667,61,5,1779.5833333333333,17.045833333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_0,57,34,2,120.83333333333333,59,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,103,21,4,120.58333333333333,53,8,1767.0,17.09583333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046_0,65,41,4,122.08333333333333,56,8,1783.3333333333333,17.516666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,66,24,2,120.0,52,8,1780.3333333333333,17.316666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048_0,60,34,3,120.83333333333333,58,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049_0,68,34,2,120.58333333333333,61,8,1767.0,17.09583333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0,60,34,2,110.25,58,8,1776.4166666666667,17.0375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b_0,62,34,3,111.75,62,2,1777.6666666666667,17.070833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,66,42,2,119.08333333333333,53,8,1794.1666666666667,17.3125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d_0,61,24,2,120.83333333333333,60,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_0,61,24,2,124.08333333333333,57,8,1782.0833333333333,17.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,64,41,3,120.66666666666667,58,8,1783.0,17.320833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_0,59,34,3,120.83333333333333,58,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051_0,67,24,2,120.75,59,8,1779.4166666666667,17.3375,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052_0,60,41,5,121.91666666666667,61,5,1777.4166666666667,17.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,59,24,4,123.33333333333333,58,8,1780.5,17.570833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0,62,24,2,120.0,56,8,1780.3333333333333,17.316666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055_0,63,24,2,119.83333333333333,61,8,1769.9166666666667,17.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_0,57,34,2,122.08333333333333,56,8,1783.3333333333333,17.516666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_0,60,24,3,123.33333333333333,57,8,1780.5,17.570833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_0,60,41,2,124.41666666666667,62,5,1787.25,17.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_0,59,24,2,120.83333333333333,60,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_0,60,31,4,111.41666666666667,63,5,1779.5833333333333,17.045833333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_0,60,24,3,124.08333333333333,60,8,1782.0833333333333,17.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c_0,63,41,4,122.08333333333333,55,8,1783.3333333333333,17.516666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_0,58,34,2,120.83333333333333,60,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e_0,60,34,2,120.83333333333333,62,8,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f_0,63,41,5,120.83333333333333,57,5,1785.3333333333333,17.15833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_0,58,34,2,118.25,58,5,1776.75,17.145833333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_0,69,34,2,120.58333333333333,60,8,1767.0,17.09583333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_0,63,24,2,121.0,62,8,1782.25,17.345833333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
